Ticker,Close,VWAP_window,Volume,DVOL,SMA4,SMA12,SMA46,Gradient_SMA4,Gradient_SMA46,Deviation_SMA4,Deviation_SMA46,Bars_since_SMA4,RSI6,RSI12,RSI24,RSI_sync_days,ATR10,ATR10_pct,RVOL10_max_10,CLV,CLV_rvol,Star_candle,Star_days_ago,WMA5,WMA10,WMA20,Gradient_WMA20,WMA_sync,WMA_fan_spread
TSLA,366.2,407.091,116193121.0,42549920910.2,358.6175,356.2058,398.4326,0.2331,-0.4918,4.3229,10.9934,0.0,54.2173,47.9284,44.9924,5,32.4375,8.8579,1.3669,0.1872,0.1164,False,,361.024,352.1493,363.0865,-0.3471,False,-0.5681
UGP,7.58,5.468,11217388.0,85027801.04,7.19,6.5025,5.2909,2.9642,1.4986,5.5633,43.4547,2.0,79.5283,73.4379,70.0778,3,0.4518,5.9602,2.6911,0.9333,0.5549,False,,7.2787,6.9195,6.3711,2.4967,True,14.2451
UNM,95.62,80.896,9558703.0,914003180.86,94.735,90.985,81.6337,2.0933,0.5929,2.1296,18.5203,0.0,64.5698,63.4457,61.5883,1,4.6513,4.8643,1.6463,0.3203,0.4357,False,,94.48,92.7175,90.9398,0.7644,True,3.8929
VEEA,5.33,2.319,182697251.0,973776347.83,2.1733,0.8391,0.6209,90.8653,18.0585,308.5999,1330.2321,0.0,96.012,92.7992,87.3808,3,0.9652,18.1085,19.6484,0.0274,0.5383,False,,2.5558,1.5414,0.9514,67.0964,True,168.6474
VOD,17.52,14.445,11748558.0,205834736.16,16.965,15.9142,14.7041,2.3257,0.812,4.2146,20.2383,2.0,75.3553,66.8661,64.828,3,0.8131,4.6411,1.7998,0.1795,0.1059,False,,17.0627,16.6415,15.9045,1.2533,True,7.2818
W,102.5,87.836,8436523.0,864743607.5,101.065,96.3442,89.5472,0.2427,-0.0245,6.288,19.9591,0.0,64.1404,60.5545,53.5509,1,11.026,10.7571,2.1624,0.0199,0.0114,False,,100.9407,99.8169,94.3446,1.7214,True,6.9914
WAY,26.51,25.566,11463713.0,303903031.63,25.3225,23.9242,25.7611,1.492,-0.7851,14.0883,12.1459,0.0,65.3687,58.015,48.2172,1,2.8843,10.88,1.5433,0.0899,0.084,False,,25.2753,24.7649,23.3623,1.9088,True,8.1884
WDAY,199.28,158.102,9460756.0,1885339455.68,196.3725,173.2192,165.3427,-0.0929,-0.5329,2.3565,21.5657,0.0,68.3751,63.7723,52.1268,13,20.0159,10.0441,1.5977,0.8022,0.3509,False,,195.7347,190.3993,170.4204,2.6499,True,14.854
XP,20.19,18.254,19805737.0,399877830.03,19.3925,17.495,18.052,4.4551,0.2375,5.2984,13.1179,0.0,79.7851,64.5048,56.2668,4,1.5963,7.9063,1.7788,0.6392,0.4556,False,,19.4733,18.3507,17.4892,1.7045,True,11.3447
ZETA,30.37,20.397,15737946.0,477961420.02,30.61,25.9833,20.4541,1.0674,1.3245,2.5123,55.9093,0.0,74.0677,69.5601,62.3328,8,3.0129,9.9206,2.1256,-0.4836,-0.1869,False,,30.4513,28.9249,25.7291,2.8392,True,18.3535
ZS,197.47,168.827,14841058.0,2930663723.26,179.01,165.0104,178.3166,2.2206,-1.6165,11.1279,11.56,0.0,71.0904,60.4989,45.3535,23,21.511,10.8933,2.0132,0.8989,1.0463,False,,180.341,175.908,163.2008,2.584,True,10.5025
