Symbol,Date,Open,High,Low,Close,Volume
AAAP,27-Jul-2026,25.325,25.325,25.325,25.325,100
AACB,27-Jul-2026,10.51,10.51,10.5099,10.51,7200
AACBR,27-Jul-2026,0.17,0.17,0.17,0.17,300
AACG,27-Jul-2026,0.84,0.9761,0.84,0.92,3800
AACI,27-Jul-2026,9.98,9.99,9.98,9.99,89700
AACIW,27-Jul-2026,0.28,0.39,0.25,0.39,21500
AACOW,27-Jul-2026,0.4,0.4426,0.3934,0.3934,6900
AACPR,27-Jul-2026,0.2,0.2,0.2,0.2,100
AADR,27-Jul-2026,82.65,82.65,82.65,82.65,500
AAEQ,27-Jul-2026,52.56,52.656,52.56,52.656,200
AAL,27-Jul-2026,14.9,15.13,14.52,14.965,84684619
AALG,27-Jul-2026,13.48,13.73,12.91,13.61,31500
AAME,27-Jul-2026,1.55,1.6099,1.5405,1.55,3500
AAOI,27-Jul-2026,105.5,105.5,92.22,97.795,4692407
AAON,27-Jul-2026,103.8,103.88,98.3,101.02,739200
AAPB,27-Jul-2026,44.84,46.16,44.84,45.53,69500
AAPD,27-Jul-2026,10.42,10.489,10.29,10.375,12682836
AAPG,27-Jul-2026,18.32,19,18.32,18.89,2000
AAPL,27-Jul-2026,334.3,339.57,332.188,336.92,29693599
AAPU,27-Jul-2026,46.18,47.5096,45.77,46.7801,1249676
AARD,27-Jul-2026,6.4,6.8,6.3635,6.69,70300
AAUB,27-Jul-2026,49.33,49.34,48.45,49.1556,8700
AAUS,27-Jul-2026,59.06,59.2,59.06,59.1811,3900
AAVM,27-Jul-2026,33.52,33.53,33.45,33.4781,1100
AAXJ,27-Jul-2026,111.53,111.53,108.95,110.17,326100
ABAT,27-Jul-2026,2.29,2.37,2.21,2.27,2825500
ABCL,27-Jul-2026,5.45,5.5799,5.24,5.245,3538674
ABCS,27-Jul-2026,35.04,35.055,34.99,35.055,2200
ABEO,27-Jul-2026,6.06,6.1851,6.04,6.13,779300
ABI,27-Jul-2026,24.81,24.81,24.81,24.81,100
ABIG,27-Jul-2026,34.08,34.1333,34.08,34.1333,22400
ABLV,27-Jul-2026,0.92,0.92,0.87,0.8701,30400
ABLVW,27-Jul-2026,0.0167,0.0167,0.0167,0.0167,200
ABNB,27-Jul-2026,143.5,147.03,143,146.86,2902600
ABNG,27-Jul-2026,18.35,18.66,18.21,18.6486,3600
ABOS,27-Jul-2026,2.19,2.25,2.175,2.2,244600
ABSI,27-Jul-2026,7.805,8.09,7.55,7.56,2452600
ABTC,27-Jul-2026,5.85,6.2083,5.6,5.87,1187100
ABTS,27-Jul-2026,1.15,1.1794,1.12,1.17,9400
ABUS,27-Jul-2026,4.4275,4.525,4.4,4.41,541663
ABVC,27-Jul-2026,1.15,1.15,0.96,1.02,123400
ABVX,27-Jul-2026,125.93,130,124,128,662300
ACAA,27-Jul-2026,10,10,10,10,105200
ACAD,27-Jul-2026,25.22,25.78,24.99,25.39,1399600
ACB,27-Jul-2026,2.7,2.79,2.69,2.74,1407300
ACCL,27-Jul-2026,2.12,2.17,2.09,2.1,32500
ACDC,27-Jul-2026,4.09,4.27,3.935,4.01,2236600
ACEP,27-Jul-2026,19.88,19.88,19.88,19.88,100
ACET,27-Jul-2026,7.84,8.26,7.74,8.06,107900
ACFN,27-Jul-2026,20.52,20.52,19.3651,20.2,15100
ACGC,27-Jul-2026,9.99,9.99,9.96,9.975,148300
ACGCW,27-Jul-2026,0.3408,0.3408,0.3408,0.32,0
ACGL,27-Jul-2026,103.37,104.79,101.93,103.88,1874600
ACGLN,27-Jul-2026,16.43,16.43,16.31,16.39,45400
ACGLO,27-Jul-2026,19.52,19.55,19.46,19.505,34600
ACHC,27-Jul-2026,34.25,34.25,32.07,32.5,4982900
ACHV,27-Jul-2026,6.18,6.43,6.03,6.18,954500
ACIC,27-Jul-2026,10.31,10.46,10.29,10.41,209000
ACIU,27-Jul-2026,2.23,2.34,2.19,2.3,130700
ACIW,27-Jul-2026,57.27,58.205,57,57.88,951600
ACLS,27-Jul-2026,134.3,136.64,122.92,128.11,407500
ACMR,27-Jul-2026,84.65,85.2,75.5,79.97,1041800
ACNB,27-Jul-2026,62.18,64.29,62,64,152300
